1. REPORTING YEAR	2. TITLE OF CERTIFYING OFFICIAL	3. NAME OF CERTIFYING OFFICIAL	4. TRIFD	5. NAME	6. STREET	7. CITY	8. COUNTY	9. STATE	10. ZIP CODE	11. BIA CODE	12. TRIBE NAME	13. PARENT COMPANY NAME	14. PARENT COMPANY DB NR	15. STANDARDIZED PARENT COMPANY NAME	16. FOREIGN PARENT COMPANY NAME	17. FOREIGN PARENT COMPANY DB NR	18. STANDARDIZED FOREIGN PARENT COMPANY NAME	19. EPA REGISTRY ID	20. SUBMITTED FACILITY NAME	21. SUBMITTED STREET	22. SUBMITTED CITY	23. SUBMITTED COUNTY	24. SUBMITTED STATE	25. SUBMITTED ZIP CODE	26. SUBMITTED BIA CODE	27. SUBMITTED TRIBE NAME	28. SUBMITTED PARENT COMPANY NAME	29. SUBMITTED PARENT COMPANY DB NR	30. SUBMITTED STANDARDIZED PARENT COMPANY NAME	31. SUBMITTED PRIMARY NAICS CODE	32. SUBMITTED INDUSTRY CODE	33. SUBMITTED INDUSTRY NAME	34. MAILING NAME	35. MAILING STREET	36. MAILING CITY	37. MAILING STATE	38. MAILING PROVINCE	39. MAILING ZIP CODE	40. ENTIRE FACILITY IND	41. PARTIAL FACILITY IND	42. FEDERAL FACILITY IND	43. ASSIGNED AGENCY	44. GOCO FACILITY IND	45. ASSIGNED FED. FACILITY FLAG	46. ASSIGNED PARTIAL FACILITY FLAG	47. PUBLIC CONTACT NAME	48. PUBLIC CONTACT PHONE	49. PUBLIC CONTACT PHONE EXT	50. PUBLIC CONTACT EMAIL	51. PRIMARY SIC CODE	52. SIC CODE 2	53. SIC CODE 3	54. SIC CODE 4	55. SIC CODE 5	56. SIC CODE 6	57. INDUSTRY CODE	58. INDUSTRY NAME	59. PRIMARY NAICS CODE	60. NAICS CODE 2	61. NAICS CODE 3	62. NAICS CODE 4	63. NAICS CODE 5	64. NAICS CODE 6	65. LATITUDE	66. LONGITUDE	67. DB NR A	68. DB NR B	69. RCRA NR A	70. RCRA NR B	71. RCRA NR C	72. RCRA NR D	73. RCRA NR E	74. RCRA NR F	75. RCRA NR G	76. RCRA NR H	77. RCRA NR I	78. RCRA NR J	79. NPDES NR A	80. NPDES NR B	81. NPDES NR C	82. NPDES NR D	83. NPDES NR E	84. NPDES NR F	85. NPDES NR G	86. NPDES NR H	87. NPDES NR I	88. NPDES NR J	89. LAST YEAR THE FACILITY REPORTED	90. FIRST YEAR THE FACILITY REPORTED	91. NUMBER OF FORMS SUBMITTED	92. TOTAL NUMBER OF FORMS SUBMITTED	20251105	
2022	SAFETY COORDINATOR	JOHN BLOUGH	9227WCLPRT722VI	1000PALMS VISTA CHINO PLANT	72200 VISTA CHINO AVE	THOUSAND PALMS	RIVERSIDE	CA	92276			CORONET CONCRETE PRODUCTS INC	147453393	CORONET CONCRETE PRODUCTS INC				110041626826	1000PALMS VISTA CHINO PLANT	72200 VISTA CHINO AVE	THOUSAND PALMS	RIVERSIDE	CA	92276			CORONET CONCRETE PRODUCTS INC	147453393	CORONET CONCRETE PRODUCTS INC	327320	327	Nonmetallic Mineral Product	1000PALMS VISTA CHINO PLANT	83801 AVENUE 45	INDIO	CA		92201	YES	NO	NO		NO	NO	NO	JOHN BLOUGH	7603422966		JBLOUGH@DESERTREDIMIX.COM							327	Nonmetallic Mineral Product	327320						33.84532	-116.37557	147453393		CAR000074674	CAL000330951																			2024	2009	3	23	20251105
2022	HR/EHS ASSISTANT	TARA VILLANUEVA	4680WNLSNG345EN	105861 - NELSON GLOBAL PRODUCTS INC	3405 ENGLE RD	FORT WAYNE	ALLEN	IN	46809			NELSON GLOBAL PRODUCTS INC	986021886	NELSON GLOBAL PRODUCTS INC				110070294092	105861 - NELSON GLOBAL PRODUCTS INC	3405 ENGLE RD	FORT WAYNE	ALLEN	IN	46809			NELSON GLOBAL PRODUCTS INC	986021886	NELSON GLOBAL PRODUCTS INC	332996	332	Fabricated Metals	105861 - NELSON GLOBAL PRODUCTS INC	3405 ENGLE RD	FORT WAYNE	IN		46809	YES	NO	NO		NO	NO	NO	TARA VILLANUEVA	2608008337		TARA.VILLANUEVA@NELSONGP.COM							332	Fabricated Metals	332996						41.04563	-85.185	968905526																						2024	2022	1	3	20251105
2022	ENVIRONMENTAL SPECIALIST	ANGELA MELE	7410WTHSTR13521	11TH STREET BATCH PLANT	13521 E 11TH ST	TULSA	TULSA	OK	74108			DOLESE BROS CO	007189202	DOLESE BROS CO				110001647219	11TH STREET BATCH PLANT	13521 E 11TH ST	TULSA	TULSA	OK	74108			DOLESE BROS CO	007189202	DOLESE BROS CO	327320	327	Nonmetallic Mineral Product	11TH STREET BATCH PLANT	8300 N. OKLAHOMA AVE.	OKLAHOMA CITY	OK		73114	YES	NO	NO		NO	NO	NO	ANGELA MELE	4052978264		AMELE@DOLESE.COM							327	Nonmetallic Mineral Product	327320						36.148	-95.82578																							2024	2011	2	18	20251105
2022	ENVIRONMENTAL MANAGER	JONATHAN WINNETT	7600WWLLWP6222E	14095 WILLOW PARK	6222 EAST I-20	ALEDO	PARKER	TX	76008					SMYRNA READY MIX LLC				110070247354	INGRAM CONCRETE - WILLOW PARK	6222 EAST I-20	ALEDO	PARKER	TX	76008			US CONCRETE INC	059313952	US CONCRETE INC	327320	327	Nonmetallic Mineral Product	14095 WILLOW PARK	1000 HOLLINGSHEAD CIR	MURFREESBORO	TN		37129	YES	NO	NO		NO	NO	NO	DANIELLE PUDVAH	6153551028		DPUDVAH@SMYRNAREADYMIX.COM							327	Nonmetallic Mineral Product	327320						32.72803	-97.620201																							2024	2017	1	6	20251105
2022	ENVIRONMENTAL MANAGER	STEVEN FILES	7514WRDMXL76DAL	14096 - PROSPER	706 S DALLAS PKWY	PROSPER	COLLIN	TX	75078					SMYRNA READY MIX LLC				110039185869	REDI-MIX - PROSPER	706 S DALLAS PKWY	PROSPER	COLLIN	TX	75078			US CONCRETE INC	059313952	US CONCRETE INC	327320	327	Nonmetallic Mineral Product	14096 - PROSPER	331 N MAIN ST	EULESS	TX		76039	YES	NO	NO		NO	NO	NO	GREG MEARS	6826993674		MEARSG@VMCMAIL.COM							327	Nonmetallic Mineral Product	327320						33.229268	-96.821519																							2024	2014	2	15	20251105
2022	ENVIRONMENTAL MANAGER	JONATHAN WINNETT	7960WBLNXX181ND	14122 ABILENE 1	1801 N. DANVILLE	ABILENE	TAYLOR	TX	79603					SMYRNA READY MIX LLC				110070247348	INGRAM CONCRETE - ABILENE 1	1801 N. DANVILLE	ABILENE	TAYLOR	TX	79603			US CONCRETE INC	059313952	US CONCRETE INC	327320	327	Nonmetallic Mineral Product	14122 ABILENE 1	4301 DANHIL DRIVE	BROWNWOOD	TX		76801	YES	NO	NO		NO	NO	NO	DANIELLE PUDVAH	6153551028		DPUDVAH@SMYRNAREADYMIX.COM							327	Nonmetallic Mineral Product	327320						32.47171	-99.77752																							2024	2017	2	8	20251105
2022	FACILITIES MANAGER	DAVID WILKES	46241RLLYT1500S	1500 SOUTH TIBBS LLC	1500 S TIBBS AVE	INDIANAPOLIS	MARION	IN	46241			AURORIUM HOLDINGS LLC	079345019	AURORIUM PPC HOLDINGS LLC				110000397516	VERTELLUS INTEGRATED PYRIDINES LLC	1500 S TIBBS AVE	INDIANAPOLIS	MARION	IN	46241			VERTELLUS PPC HOLDINGS LLC		VERTELLUS LLC	325194	325	Chemicals	1500 SOUTH TIBBS LLC	1500 S TIBBS AVE	INDIANAPOLIS	IN		46241	YES	NO	NO		NO	NO	NO	ADAM BATES	3179037784		CCHILES@AURORIUM.COM	2865	2869	2899				325	Chemicals	325194	325998					39.740281	-86.218331	079345007		IND000807107																				2023	1987	21	694	20251105
2022	REGIONAL REGULATORY MANAGER	JAMES VALLEY	7516WSPCLT233HY	1I BRANCH - SPECIALTY SERVICES COMPLEX	233 HOYT ROAD	WAXAHACHIE	ELLIS	TX	75167			UNIVAR SOLUTIONS USA INC	028968691	UNIVAR SOLUTIONS USA INC				110054863652	1I BRANCH - SPECIALTY SERVICES COMPLEX	233 HOYT ROAD	WAXAHACHIE	ELLIS	TX	75167			UNIVAR SOLUTIONS USA INC	028968691	UNIVAR SOLUTIONS USA INC	325998	325	Chemicals	1I BRANCH - SPECIALTY SERVICES COMPLEX	10889 BEKAY STREET	DALLAS	TX		75238	YES	NO	NO		NO	NO	NO	JAMES VALLEY	2147965431		JAMES.VALLEY@UNIVARSOLUTIONS.COM							325	Chemicals	325998						32.363739	-96.940481			TX7960099847																				2024	2012	2	44	20251105
2022	PURCHASING AGENT	LOUIS SZKLANECKI	60101STYDC450SL	1ST AYD CORP	1325 GATEWAY DRIVE	ELGIN	KANE	IL	60124					NA				110000430524	1ST AYD CORP	1325 GATEWAY DRIVE	ELGIN	KANE	IL	60124					NA	325611	325	Chemicals	1ST AYD CORP	1325 GATEWAY DR	ELGIN	IL		60124	YES	NO	NO		NO	NO	NO	JOE SOSTARICS	8476220001	115	JSOSTARICS@1STAYD.COM	2841						325	Chemicals	325611						42.06573	-88.34327	077007649		ILR000155333																				2024	1992	1	35	20251105
2022	PERMIT COMPLIANCE	THADDEUS MCCAUSTLAND	89408CNTRY2095N	21ST CENTURY ENVIRONMENTAL MANAGEMENT OF NEVADA LLC	2095 NEWLANDS DR E	FERNLEY	LYON	NV	89408			ENVIRI CORP	231483991	ENVIRI CORP				110020509831	21ST CENTURY ENVIRONMENTAL MANAGEMENT OF NEVADA LLC	2095 NEWLANDS DR E	FERNLEY	LYON	NV	89408			HARSCO CORP	003002268		562211	562	Hazardous Waste	21ST CENTURY ENVIRONMENTAL MANAGEMENT OF NEVADA LLC	2095 NEWLANDS DR E	FERNLEY	NV		89408	YES	NO	NO		NO	NO	NO	TJ MC CAUSTLAND	7708912531		TMCCAUSTLAND@CLEANEARTHINC.COM	4953						562	Hazardous Waste	562211						39.61033	-119.20296	363596297		NVD980895338																				2024	1990	6	182	20251105
